address,total_trades,winning_trades,win_rate,total_pnl_sol,total_pnl_usd,avg_pnl_per_trade_usd,best_trade_usd,worst_trade_usd,consistency_score,first_seen,last_active,solscan_url
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL
E7Dz3H57fSUSKRAgVdQQ96sdGpgRbYVuA8WheXJa4XqC,4,2,50.00%,-0.4278,-35.26,-8.82,0.85,-32.97,0.0,2026-01-13,2026-03-24,https://solscan.io/account/E7Dz3H57fSUSKRAgVdQQ96sdGpgRbYVuA8WheXJa4XqC
AydarWia4Le2GQ7xwoHBeGLo16EyVy9GxVr3VtPtn1j5,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/AydarWia4Le2GQ7xwoHBeGLo16EyVy9GxVr3VtPtn1j5
xwiHRQVE5c7fCAxk4hnYXjQVCc7GsJq9g5oGaFKHJcs,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/xwiHRQVE5c7fCAxk4hnYXjQVCc7GsJq9g5oGaFKHJcs
5Z84wihCtpNP9W58KoExJ5e9CG4SP2QUUg6tsnXb9WGF,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/5Z84wihCtpNP9W58KoExJ5e9CG4SP2QUUg6tsnXb9WGF
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY
zvYPtfpDXwEE46C3NeZrKV5SHA416BiK2YabQTceQ8X,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/zvYPtfpDXwEE46C3NeZrKV5SHA416BiK2YabQTceQ8X
7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx
6umTMY6nqXF4YEmQfYQJHx59FXGrXhBrxYfts7cW9h9R,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/6umTMY6nqXF4YEmQfYQJHx59FXGrXhBrxYfts7cW9h9R
